query,postive_doc,negative_doc
行纪合同中行纪人的保管义务条款,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十三条【行纪人的保管义务】行纪人占有委托物的应当妥善保管委托物。","第六编 继 承,无,第四章 遗产的处理,无,第一千一百五十六条【遗产分割的原则和方法】遗产分割应当有利于生产和生活需要不损害遗产的效用。不宜分割的遗产可以采取折价、适当补偿或者共有等方法处理。"
行纪合同中行纪人对委托物的保管义务,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十三条【行纪人的保管义务】行纪人占有委托物的应当妥善保管委托物。","第三编 合 同,第二分编 典 型 合 同,第十三章 保 证 合 同,第二节 保 证 责 任,第六百九十五条【主合同变更对保证责任影响】债权人和债务人未经保证人书面同意协商变更主债权债务合同内容减轻债务的保证人仍对变更后的债务承担保证责任加重债务的保证人对加重的部分不承担保证责任。债权人和债务人变更主债权债务合同的履行期限未经保证人书面同意的保证期间不受影响。"
行纪合同中委托物有瑕疵或易腐烂时行纪人如何处分？,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十四条【行纪人处置委托物的义务】委托物交付给行纪人时有瑕疵或者容易腐烂、变质的经委托人同意行纪人可以处分该物不能与委托人及时取得联系的行纪人可以合理处分。","第五编 婚 姻 家 庭,无,第三章 家 庭 关 系,第一节 夫 妻 关 系,第一千零六十一条【夫妻相互继承权】夫妻有相互继承遗产的权利。"
行纪合同中行纪人如何处理有瑕疵或易腐烂的委托物？,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十四条【行纪人处置委托物的义务】委托物交付给行纪人时有瑕疵或者容易腐烂、变质的经委托人同意行纪人可以处分该物不能与委托人及时取得联系的行纪人可以合理处分。","第二编 物 权,第三分编 用 益 物 权,第十二章 建设用地使用权,无,第三百五十九条【建设用地使用权的续期】住宅建设用地使用权期限届满的自动续期。续期费用的缴纳或者减免依照法律、行政法规的规定办理。非住宅建设用地使用权期限届满后的续期依照法律规定办理。该土地上的房屋以及其他不动产的归属有约定的按照约定没有约定或者约定不明确的依照法律、行政法规的规定办理。"
行纪合同中行纪人如何处理有瑕疵或易腐烂变质的委托物？,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十四条【行纪人处置委托物的义务】委托物交付给行纪人时有瑕疵或者容易腐烂、变质的经委托人同意行纪人可以处分该物不能与委托人及时取得联系的行纪人可以合理处分。","第五编 婚 姻 家 庭,无,第二章 结 婚,无,第一千零五十三条【隐瞒疾病的可撤销婚姻】一方患有重大疾病的应当在结婚登记前如实告知另一方不如实告知的另一方可以向人民法院请求撤销婚姻。请求撤销婚姻的应当自知道或者应当知道撤销事由之日起一年内提出。"
行纪合同中行纪人未按委托人指定价格买卖时的法律责任及利益归属规定,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十五条【行纪人依照委托人指定价格买卖的义务】行纪人低于委托人指定的价格卖出或者高于委托人指定的价格买入的应当经委托人同意未经委托人同意行纪人补偿其差额的该买卖对委托人发生效力。行纪人高于委托人指定的价格卖出或者低于委托人指定的价格买入的可以按照约定增加报酬没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的该利益属于委托人。委托人对价格有特别指示的行纪人不得违背该指示卖出或者买入。","第七编 侵 权 责 任,无,第十章 建筑物和物件损害责任,无,第一千二百五十二条【建筑物、构筑物或者其他设施倒塌、塌陷致害责任】建筑物、构筑物或者其他设施倒塌、塌陷造成他人损害的由建设单位与施工单位承担连带责任但是建设单位与施工单位能够证明不存在质量缺陷的除外。建设单位、施工单位赔偿后有其他责任人的有权向其他责任人追偿。因所有人、管理人、使用人或者第三人的原因建筑物、构筑物或者其他设施倒塌、塌陷造成他人损害的由所有人、管理人、使用人或者第三人承担侵权责任。"
行纪合同中行纪人未按委托人指定价格买卖时的法律责任,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十五条【行纪人依照委托人指定价格买卖的义务】行纪人低于委托人指定的价格卖出或者高于委托人指定的价格买入的应当经委托人同意未经委托人同意行纪人补偿其差额的该买卖对委托人发生效力。行纪人高于委托人指定的价格卖出或者低于委托人指定的价格买入的可以按照约定增加报酬没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的该利益属于委托人。委托人对价格有特别指示的行纪人不得违背该指示卖出或者买入。","第二编 物 权,第二分编 所 有 权,第七章 相 邻 关 系,无,第二百九十条【用水、排水相邻关系】不动产权利人应当为相邻权利人用水、排水提供必要的便利。对自然流水的利用应当在不动产的相邻权利人之间合理分配。对自然流水的排放应当尊重自然流向。"
行纪合同中行纪人按照委托人指定价格买卖的义务及差额补偿规定,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十五条【行纪人依照委托人指定价格买卖的义务】行纪人低于委托人指定的价格卖出或者高于委托人指定的价格买入的应当经委托人同意未经委托人同意行纪人补偿其差额的该买卖对委托人发生效力。行纪人高于委托人指定的价格卖出或者低于委托人指定的价格买入的可以按照约定增加报酬没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的该利益属于委托人。委托人对价格有特别指示的行纪人不得违背该指示卖出或者买入。","第三编 合 同,第二分编 典 型 合 同,第十四章 租 赁 合 同,无,第七百零九条【承租人按约定使用租赁物的义务】承租人应当按照约定的方法使用租赁物。对租赁物的使用方法没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的应当根据租赁物的性质使用。"
行纪合同中行纪人的介入权规定，当卖出或买入具有市场定价的商品时，行纪人是否可以自行作为买卖方？该情况下委托人是否仍需支付报酬？,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十六条【行纪人的介入权】行纪人卖出或者买入具有市场定价的商品除委托人有相反的意思表示外行纪人自己可以作为买受人或者出卖人。行纪人有前款规定情形的仍然可以请求委托人支付报酬。","第三编 合同,第二分编 典型合同,第二十章 技术合同,第四节 技术咨询合同和技术服务合同,第八百八十二条【技术服务合同委托人义务】技术服务合同的委托人应当按照约定提供工作条件完成配合事项接受工作成果并支付报酬。"
行纪合同中行纪人作为买受人或出卖人的介入权及报酬请求权规定,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十六条【行纪人的介入权】行纪人卖出或者买入具有市场定价的商品除委托人有相反的意思表示外行纪人自己可以作为买受人或者出卖人。行纪人有前款规定情形的仍然可以请求委托人支付报酬。","第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十五条【抵押财产的范围】债务人或者第三人有权处分的下列财产可以抵押抵押人可以将前款所列财产一并抵押。"
行纪合同中行纪人是否可以自行作为买卖双方进行交易？,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十六条【行纪人的介入权】行纪人卖出或者买入具有市场定价的商品除委托人有相反的意思表示外行纪人自己可以作为买受人或者出卖人。行纪人有前款规定情形的仍然可以请求委托人支付报酬。","第三编 合同,第二分编 典型合同,第二十三章 委托合同,无,第九百三十二条【共同委托】两个以上的受托人共同处理委托事务的对委托人承担连带责任。"
行纪合同中委托人未及时受领委托物的处理规定,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十七条【委托人及时受领、取回和处分委托物及行纪人提存委托物】行纪人按照约定买入委托物委托人应当及时受领。经行纪人催告委托人无正当理由拒绝受领的行纪人依法可以提存委托物。委托物不能卖出或者委托人撤回出卖经行纪人催告委托人不取回或者不处分该物的行纪人依法可以提存委托物。","第二编 物 权,第二分编 所 有 权,第九章 所有权取得的特别规定,无,第三百一十二条【遗失物的善意取得】所有权人或者其他权利人有权追回遗失物。该遗失物通过转让被他人占有的权利人有权向无处分权人请求损害赔偿或者自知道或者应当知道受让人之日起二年内向受让人请求返还原物但是受让人通过拍卖或者向具有经营资格的经营者购得该遗失物的权利人请求返还原物时应当支付受让人所付的费用。权利人向受让人支付所付费用后有权向无处分权人追偿。"
行纪合同中委托人未及时受领委托物的处理规定,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十七条【委托人及时受领、取回和处分委托物及行纪人提存委托物】行纪人按照约定买入委托物委托人应当及时受领。经行纪人催告委托人无正当理由拒绝受领的行纪人依法可以提存委托物。委托物不能卖出或者委托人撤回出卖经行纪人催告委托人不取回或者不处分该物的行纪人依法可以提存委托物。","第三编 合 同,第一分编 通 则,第七章 合同的权利义务终止,无,第五百六十二条【合同约定解除】当事人协商一致可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时解除权人可以解除合同。"
行纪合同中委托人未及时受领委托物时行纪人如何处理,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十七条【委托人及时受领、取回和处分委托物及行纪人提存委托物】行纪人按照约定买入委托物委托人应当及时受领。经行纪人催告委托人无正当理由拒绝受领的行纪人依法可以提存委托物。委托物不能卖出或者委托人撤回出卖经行纪人催告委托人不取回或者不处分该物的行纪人依法可以提存委托物。","第三编 合 同,第二分编 典 型 合 同,第二十七章 合 伙 合 同,无,第九百七十八条【合伙剩余财产分配顺序】合伙合同终止后合伙财产在支付因终止而产生的费用以及清偿合伙债务后有剩余的依据本法第九百七十二条的规定进行分配。"
行纪合同中行纪人的直接履行义务及对第三人违约的赔偿责任规定,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十八条【行纪人的直接履行义务】行纪人与第三人订立合同的行纪人对该合同直接享有权利、承担义务。第三人不履行义务致使委托人受到损害的行纪人应当承担赔偿责任但是行纪人与委托人另有约定的除外。","第一编 总 则,无,第一章 基 本 规 定,无,第九条【绿色原则】民事主体从事民事活动应当有利于节约资源、保护生态环境。"
行纪合同中行纪人对第三人合同履行的直接义务及赔偿责任规定是什么？,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十八条【行纪人的直接履行义务】行纪人与第三人订立合同的行纪人对该合同直接享有权利、承担义务。第三人不履行义务致使委托人受到损害的行纪人应当承担赔偿责任但是行纪人与委托人另有约定的除外。","第七编 侵 权 责 任,无,第七章 环境污染和生态破坏责任,无,第一千二百三十五条【公益诉讼的赔偿范围】违反国家规定造成生态环境损害的国家规定的机关或者法律规定的组织有权请求侵权人赔偿下列损失和费用失"
行纪合同中行纪人对第三人合同的直接权利义务及赔偿责任规定,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十八条【行纪人的直接履行义务】行纪人与第三人订立合同的行纪人对该合同直接享有权利、承担义务。第三人不履行义务致使委托人受到损害的行纪人应当承担赔偿责任但是行纪人与委托人另有约定的除外。","第二编 物 权,第四分编 担 保 物 权,第十九章 留 置 权,无,第四百五十二条【留置权人收取孳息的权利】留置权人有权收取留置财产的孳息。前款规定的孳息应当先充抵收取孳息的费用。"
行纪人完成委托事务后如何行使报酬请求权和留置权？,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十九条【行纪人的报酬请求权及留置权】行纪人完成或者部分完成委托事务的委托人应当向其支付相应的报酬。委托人逾期不支付报酬的行纪人对委托物享有留置权但是当事人另有约定的除外。","第一编 总 则,无,第二章 自 然 人,第二节 监 护,第三十九条【监护关系终止的情形】有下列情形之一的监护关系终止监护关系终止后被监护人仍然需要监护的应当依法另行确定监护人。"
行纪合同中行纪人完成委托事务后如何行使报酬请求权及留置权？,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十九条【行纪人的报酬请求权及留置权】行纪人完成或者部分完成委托事务的委托人应当向其支付相应的报酬。委托人逾期不支付报酬的行纪人对委托物享有留置权但是当事人另有约定的除外。","第二编 物 权,第四分编 担 保 物 权,第十八章 质 权,第二节 权 利 质 权,第四百四十五条【以应收账款出质的质权的设立及转让限制】以应收账款出质的质权自办理出质登记时设立。应收账款出质后不得转让但是出质人与质权人协商同意的除外。出质人转让应收账款所得的价款应当向质权人提前清偿债务或者提存。"
《民法典》中关于行纪合同中行纪人报酬请求权及留置权的规定,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十九条【行纪人的报酬请求权及留置权】行纪人完成或者部分完成委托事务的委托人应当向其支付相应的报酬。委托人逾期不支付报酬的行纪人对委托物享有留置权但是当事人另有约定的除外。","第六编 继 承,无,第三章 遗嘱继承和遗赠,无,第一千一百四十二条【遗嘱的撤回、变更以及遗嘱效力顺位】遗嘱人可以撤回、变更自己所立的遗嘱。立遗嘱后遗嘱人实施与遗嘱内容相反的民事法律行为的视为对遗嘱相关内容的撤回。立有数份遗嘱内容相抵触的以最后的遗1142条"
行纪合同中未规定事项如何参照适用委托合同的法律规定,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百六十条【参照适用委托合同】本章没有规定的参照适用委托合同的有关规定。","第五编 婚 姻 家 庭,无,第三章 家 庭 关 系,第一节 夫 妻 关 系,第一千零六十四条【夫妻共同债务】夫妻双方共同签名或者夫妻一方事后追认等共同意思表示所负的债务以及夫妻一方在婚姻关系存续期间以个人名义为家庭日常生活需要所负的债务属于夫妻共同债务。夫妻一方在婚姻关系存续期间以个人名义超出家庭日常生活需要所负的债务不属于夫妻共同债务但是债权人能够证明该债务用于夫妻共同生活、共同生产经营或者基于夫妻双方共同意思表示的除外。"
行纪合同中未明确规定事项如何参照适用委托合同,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百六十条【参照适用委托合同】本章没有规定的参照适用委托合同的有关规定。","第二编 物 权,第一分编 通 则,第三章 物权的保护,无,第二百三十六条【排除妨害请求权】妨害物权或者可能妨害物权的权利人可以请求排除妨害或者消除危险。"
行纪合同第九百六十条参照适用委托合同,"第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百六十条【参照适用委托合同】本章没有规定的参照适用委托合同的有关规定。","第三编 合 同,第二分编 典 型 合 同,第二十一章 保 管 合 同,无,第八百九十条【保管合同成立时间】保管合同自保管物交付时成立但是当事人另有约定的除外。"
中介合同的定义及委托人支付报酬的法律规定,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十一条【中介合同定义】中介合同是中介人向委托人报告订立合同的机会或者提供订立合同的媒介服务委托人支付报酬的合同。","第五编 婚 姻 家 庭,无,第三章 家 庭 关 系,第一节 夫 妻 关 系,第一千零五十七条【夫妻参加各种活动的自由】夫妻双方都有参加生产、工作、学习和社会活动的自由一方不得对另一方加以限制或者干涉。"
中介合同的定义及委托人支付报酬的规定,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十一条【中介合同定义】中介合同是中介人向委托人报告订立合同的机会或者提供订立合同的媒介服务委托人支付报酬的合同。","第二编 物 权,第二分编 所 有 权,第五章 国家所有权和集体,无,第二百四十七条【矿藏、水流、海域的国家所有权】矿藏、水流、海域属于国家所有。"
中介合同的定义是什么？,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十一条【中介合同定义】中介合同是中介人向委托人报告订立合同的机会或者提供订立合同的媒介服务委托人支付报酬的合同。","第三编 合 同,第二分编 典 型 合 同,第二十五章 行 纪 合 同,无,第九百五十二条【行纪人承担费用的义务】行纪人处理委托事务支出的费用由行纪人负担但是当事人另有约定的除外。"
中介合同中中介人应当履行的报告义务及隐瞒虚假信息的法律责任,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十二条【中介人报告义务】中介人应当就有关订立合同的事项向委托人如实报告。中介人故意隐瞒与订立合同有关的重要事实或者提供虚假情况损害委托人利益的不得请求支付报酬并应当承担赔偿责任。","第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百零二条【不动产抵押登记】以本法第三百九十五条第一款第一项至第三项规定的财产或者第五项规定的正在建造的建筑物抵押的应当办理抵押登记。抵押权自登记时设立。"
中介合同中中介人报告义务及故意隐瞒重要事实的法律后果,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十二条【中介人报告义务】中介人应当就有关订立合同的事项向委托人如实报告。中介人故意隐瞒与订立合同有关的重要事实或者提供虚假情况损害委托人利益的不得请求支付报酬并应当承担赔偿责任。","第七编 侵 权 责 任,无,第二章 损 害 赔 偿,无,第一千一百八十三条【精神损害赔偿】侵害自然人人身权益造成严重精神损害的被侵权人有权请求精神损害赔偿。因故意或者重大过失侵害自然人具有人身意义的特定物造成严重精神损害的被侵权人有权请求精神损害赔偿。"
中介人未履行报告义务导致委托人受损的法律责任,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十二条【中介人报告义务】中介人应当就有关订立合同的事项向委托人如实报告。中介人故意隐瞒与订立合同有关的重要事实或者提供虚假情况损害委托人利益的不得请求支付报酬并应当承担赔偿责任。","第三编 合 同,第二分编 典 型 合 同,第二十章 技 术 合 同,第二节 技术开发合同,第八百六十一条【技术秘密成果归属与分享】委托开发或者合作开发完成的技术秘密成果的使用权、转让权以及收益的分配办法由当事人约定没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的在没有相同技术方案被授予专利权前当事人均有使用和转让的权利。但是委托开发的研究开发人不得在向委托人交付研究开发成果之前将研究开发成果转让给第三人。"
中介合同中中介人报酬的支付规定及费用负担规则,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十三条【中介人报酬请求权】中介人促成合同成立的委托人应当按照约定支付报酬。对中介人的报酬没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的根据中介人的劳务合理确定。因中介人提供订立合同的媒介服务而促成合同成立的由该合同的当事人平均负担中介人的报酬。中介人促成合同成立的中介活动的费用由中介人负担。","第二编 物 权,第二分编 所 有 权,第八章 共 有,无,第三百零二条【共有物管理费用的分担】共有人对共有物的管理费用以及其他负担有约定的按照其约定没有约定或者约定不明确的按份共有人按照其份额负担共同共有人共同负担。"
中介合同中中介人促成合同成立后的报酬支付规定,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十三条【中介人报酬请求权】中介人促成合同成立的委托人应当按照约定支付报酬。对中介人的报酬没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的根据中介人的劳务合理确定。因中介人提供订立合同的媒介服务而促成合同成立的由该合同的当事人平均负担中介人的报酬。中介人促成合同成立的中介活动的费用由中介人负担。","第三编 合 同,第二分编 典 型 合 同,第十七章 承 揽 合 同,无,第七百七十三条【承揽辅助工作转交】承揽人可以将其承揽的辅助工作交由第三人完成。承揽人将其承揽的辅助工作交由第三人完成的应当就该第三人完成的工作成果向定作人负责。"
中介合同中中介人报酬的法律规定是什么？,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十三条【中介人报酬请求权】中介人促成合同成立的委托人应当按照约定支付报酬。对中介人的报酬没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的根据中介人的劳务合理确定。因中介人提供订立合同的媒介服务而促成合同成立的由该合同的当事人平均负担中介人的报酬。中介人促成合同成立的中介活动的费用由中介人负担。","第三编 合 同,第二分编 典 型 合 同,第十四章 租 赁 合 同,无,第七百一十四条【承租人妥善保管租赁物义务】承租人应当妥善保管租赁物因保管不善造成租赁物毁损、灭失的应当承担赔偿责任。"
中介合同中中介人必要费用请求权的规定,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十四条【中介人必要费用请求权】中介人未促成合同成立的不得请求支付报酬但是可以按照约定请求委托人支付从事中介活动支出的必要费用。","第三编 合同,第二分编 典型合同,第十四章 租赁合同,无,第七百一十五条【承租人对租赁物进行改善或增设他物】承租人经出租人同意可以对租赁物进行改善或者增设他物。承租人未经出租人同意对租赁物进行改善或者增设他物的出租人可以请求承租人恢复原状或者赔偿损失。"
中介合同中中介人未促成合同成立时必要费用请求权的规定,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十四条【中介人必要费用请求权】中介人未促成合同成立的不得请求支付报酬但是可以按照约定请求委托人支付从事中介活动支出的必要费用。","第三编 合 同,第二分编 典 型 合 同,第十九章 运 输 合 同,第三节 货 运 合 同,第八百三十一条【收货人检验货物】收货人提货时应当按照约定的期限检验货物。对检验货物的期限没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的应当在合理期限内检验货物。收货人在约定的期限或者合理期限内对货物的数量、毁损等未提出异议的视为承运人已经按照运输单证的记载交付的初步证据。"
中介合同未促成合同成立时中介人能否请求必要费用,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十四条【中介人必要费用请求权】中介人未促成合同成立的不得请求支付报酬但是可以按照约定请求委托人支付从事中介活动支出的必要费用。","第七编 侵 权 责 任,无,第一章 一 般 规 定,无,第一千一百六十七条【危及他人人身、财产安全的责任承担方式】侵权行为危及他人人身、财产安全的被侵权人有权请求侵权人承担停止侵害、排除妨碍、消除危险等侵权责任。"
委托人接受中介服务后绕开中介直接订立合同的法律后果,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十五条【委托人私下与第三人订立合同后果】委托人在接受中介人的服务后利用中介人提供的交易机会或者媒介服务绕开中介人直接订立合同的应当向中介人支付报酬。","第三编 合 同,第二分编 典型 合同,第九章 买卖 合同,无,第六百零五条【迟延交付标的物的风险负担】因买受人的原因致使标的物未按照约定的期限交付的买受人应当自违反约定时起承担标的物毁损、灭失的风险。"
委托人接受中介服务后绕开中介直接签订合同的法律后果,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十五条【委托人私下与第三人订立合同后果】委托人在接受中介人的服务后利用中介人提供的交易机会或者媒介服务绕开中介人直接订立合同的应当向中介人支付报酬。","第三编 合 同,第二分编 典 型 合 同,第十八章 建设工程合同,无,第七百九十七条【发包人的检查权】发包人在不妨碍承包人正常作业的情况下可以随时对作业进度、质量进行检查。"
委托人接受中介服务后绕开中介直接签约是否需要支付报酬？,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十五条【委托人私下与第三人订立合同后果】委托人在接受中介人的服务后利用中介人提供的交易机会或者媒介服务绕开中介人直接订立合同的应当向中介人支付报酬。","第五编 婚 姻 家 庭,无,第三章 家 庭 关 系,第一节 夫 妻 关 系,第一千零五十七条【夫妻参加各种活动的自由】夫妻双方都有参加生产、工作、学习和社会活动的自由一方不得对另一方加以限制或者干涉。"
中介合同中未规定事项如何参照适用委托合同,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十六条【参照适用委托合同】本章没有规定的参照适用委托合同的有关规定。","第四编 人 格 权,无,第二章 生命权、身体权和健康权,无,第一千零四条【健康权】自然人享有健康权。自然人的身心健康受法律保护。任何组织或者个人不得侵害他人的健康权。"
中介合同如何参照适用委托合同的规定？,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十六条【参照适用委托合同】本章没有规定的参照适用委托合同的有关规定。","第五编 婚 姻 家 庭,无,第四章 离 婚,无,第一千零八十九条【离婚时夫妻共同债务清偿】离婚时夫妻共同债务应当共同偿还。共同财产不足清偿或者财产归各自所有的由双方协议清偿协议不成的由人民法院判决。"
中介合同中未规定事项如何参照适用委托合同的条款？,"第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十六条【参照适用委托合同】本章没有规定的参照适用委托合同的有关规定。","第七编 侵 权 责 任,无,第十章 建筑物和物件损害责任,无,第一千二百五十八条【公共场所或者道路上施工致害责任和窨井等地下设施致害责任】在公共场所或者道路上挖掘、修缮安装地下设施等造成他人损害施工人不能证明已经设置明显标志和采取安全措施的应当承担侵权责任。窨井等地下设施造成他人损害管理人不能证明尽到管理职责的应当承担侵权责任。"
合伙合同的定义及合伙人如何共享利益和共担风险？,"第三编 合 同,第二分编 典 型 合 同,第二十七章 合 伙 合 同,无,第九百六十七条【合伙合同定义】合伙合同是两个以上合伙人为了共同的事业目的订立的共享利益、共担风险的协议。","第五编 婚 姻 家 庭,无,第四章 离 婚,无,第一千零八十七条【离婚时夫妻共同财产的处理】离婚时夫妻的共同财产由双方协议处理协议不成的由人民法院根据财产的具体情况按照照顾子女、女方和无过错方权益的原则判决。对夫或者妻在家庭土地承包经营中享有的权益等应当依法予以保护。"
合伙合同的定义是什么？,"第三编 合 同,第二分编 典 型 合 同,第二十七章 合 伙 合 同,无,第九百六十七条【合伙合同定义】合伙合同是两个以上合伙人为了共同的事业目的订立的共享利益、共担风险的协议。","第五编 婚 姻 家 庭,无,第四章 离 婚,无,第一千零八十四条【离婚后的父母子女关系】父母与子女间的关系不因父母离婚而消除。离婚后子女无论由父或者母直接抚养仍是父母双方的子女。离婚后父母对于子女仍有抚养、教育、保护的权利和义务。离婚后不满两周岁的子女以由母亲直接抚养为原则。已满两周岁的子女父母双方对抚养问题协议不成的由人民法院根据双方的具体情况按照最有利于未成年子女的原则判决。子女已满八周岁的应当尊重其真实意愿。"
合伙合同的定义是什么？,"第三编 合 同,第二分编 典 型 合 同,第二十七章 合 伙 合 同,无,第九百六十七条【合伙合同定义】合伙合同是两个以上合伙人为了共同的事业目的订立的共享利益、共担风险的协议。","第三编 合 同,第二分编 典 型 合 同,第十章 供用电、水、气、热力合同,无,第六百五十一条【供电人的安全供电义务】供电人应当按照国家规定的供电质量标准和约定安全供电。供电人未按照国家规定的供电质量标准和约定安全供电造成用电人损失的应当承担赔偿责任。"
合伙合同中合伙人出资义务的法律规定,"第三编 合 同,第二分编 典 型 合 同,第二十七章 合 伙 合 同,无,第九百六十八条【合伙人履行出资义务】合伙人应当按照约定的出资方式、数额和缴付期限履行出资义务。","第三编 合同,第二分编 典型合同,第二十二章 仓储合同,无,第九百一十三条【保管人危险催告义务和紧急处置权】保管人发现入库仓储物有变质或者其他损坏危及其他仓储物的安全和正常保管的应当催告存货人或者仓单持有人作出必要的处置。因情况紧急保管人可以作出必要的处置但是事后应当将该情况及时通知存货人或者仓单持有人。"
合伙合同中合伙人出资义务的法律规定,"第三编 合 同,第二分编 典 型 合 同,第二十七章 合 伙 合 同,无,第九百六十八条【合伙人履行出资义务】合伙人应当按照约定的出资方式、数额和缴付期限履行出资义务。","第三编 合 同,第二分编 典 型 合 同,第十七章 承 揽 合 同,无,第七百八十二条【定作人支付报酬的期限】定作人应当按照约定的期限支付报酬。对支付报酬的期限没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的定作人应当在承揽人交付工作成果时支付工作成果部分交付的定作人应当相应支付。"
合伙人如何履行出资义务,"第三编 合 同,第二分编 典 型 合 同,第二十七章 合 伙 合 同,无,第九百六十八条【合伙人履行出资义务】合伙人应当按照约定的出资方式、数额和缴付期限履行出资义务。","第二编 物 权,第二分编 所 有 权,第四章 一 般 规 定,无,第二百四十条【所有权的定义】所有权人对自己的不动产或者动产依法享有占有、使用、收益和处分的权利。"
合伙合同中合伙财产的定义及合同终止前不得分割的规定,"第三编 合 同,第二分编 典 型 合 同,第二十七章 合 伙 合 同,无,第九百六十九条【合伙财产】合伙人的出资、因合伙事务依法取得的收益和其他财产属于合伙财产。合伙合同终止前合伙人不得请求分割合伙财产。","第四编 人 格 权,无,第一章 一 般 规 定,无,第九百九十三条【人格标识许可使用】民事主体可以将自己的姓名、名称、肖像等许可他人使用但是依照法律规定或者根据其性质不得许可的除外。"
